pid,player,pos,prev_team,age,proj_ppr,prev_ppr,prev_ppg,prev_g,prev_rk,vbd,vbd_rk,tier,pos_rk
P1651,TreVeyon Henderson,RB,NWE,24,149.6,206.2,12.13,17,61,5.5,56,2,18
P1328,D.K. Metcalf,WR,PIT,29,158.6,187.2,12.48,15,74,4.5,57,2,24
P1436,Trevor Lawrence,QB,JAX,27,246.0,338.2,19.89,17,10,4.5,58,2,9
P1039,Davante Adams,WR,LAR,34,158.3,222.9,15.92,14,43,4.2,59,2,25
P1499,Juwan Johnson,TE,NOR,30,135.8,179.9,10.58,17,84,3.9,60,3,8
P1291,Dallas Goedert,TE,PHI,31,135.7,185.1,12.34,15,78,3.8,61,3,9
P1387,D'Andre Swift,RB,CHI,27,147.8,228.6,14.29,16,38,3.7,62,2,19
P1579,Jameson Williams,WR,DET,25,157.8,219.9,12.94,17,47,3.7,63,2,26
P1373,Jakobi Meyers,WR,2TM,30,157.6,175.8,10.99,16,91,3.5,64,2,27
P1652,Emeka Egbuka,WR,TAM,24,156.8,195.7,11.51,17,67,2.7,65,2,28
P1545,Jordan Addison,WR,MIN,24,155.1,135.1,9.65,14,122,1.0,66,2,29
P1506,Brock Purdy,QB,SFO,27,241.5,177.4,19.71,9,88,0.0,67,2,10
P1547,Rashee Rice,WR,KAN,26,154.1,150.1,18.76,8,108,0.0,68,2,30
